id,pid,deep,name,pinyin_prefix,pinyin,ext_name
3602,36,1,景德镇,j,jing de zhen,景德镇市
3603,36,1,萍乡,p,ping xiang,萍乡市
3604,36,1,九江,j,jiu jiang,九江市
3605,36,1,新余,x,xin yu,新余市
3606,36,1,鹰潭,y,ying tan,鹰潭市
3607,36,1,赣州,g,gan zhou,赣州市
3608,36,1,吉安,j,ji an,吉安市
3609,36,1,宜春,y,yi chun,宜春市
3610,36,1,抚州,f,fu zhou,抚州市
3611,36,1,上饶,s,shang rao,上饶市
3701,37,1,济南,j,ji nan,济南市
3702,37,1,青岛,q,qing dao,青岛市
3703,37,1,淄博,z,zi bo,淄博市
3704,37,1,枣庄,z,zao zhuang,枣庄市
3705,37,1,东营,d,dong ying,东营市
3706,37,1,烟台,y,yan tai,烟台市
3707,37,1,潍坊,w,wei fang,潍坊市
3708,37,1,济宁,j,ji ning,济宁市
3709,37,1,泰安,t,tai an,泰安市
3710,37,1,威海,w,wei hai,威海市
3711,37,1,日照,r,ri zhao,日照市
3713,37,1,临沂,l,lin yi,临沂市
3714,37,1,德州,d,de zhou,德州市
3715,37,1,聊城,l,liao cheng,聊城市
3716,37,1,滨州,b,bin zhou,滨州市
3717,37,1,菏泽,h,he ze,菏泽市
4101,41,1,郑州,z,zheng zhou,郑州市
4102,41,1,开封,k,kai feng,开封市
4103,41,1,洛阳,l,luo yang,洛阳市
4104,41,1,平顶山,p,ping ding shan,平顶山市
4105,41,1,安阳,a,an yang,安阳市
4106,41,1,鹤壁,h,he bi,鹤壁市
4107,41,1,新乡,x,xin xiang,新乡市
4108,41,1,焦作,j,jiao zuo,焦作市
4109,41,1,濮阳,p,pu yang,濮阳市
4110,41,1,许昌,x,xu chang,许昌市
4111,41,1,漯河,l,luo he,漯河市
4112,41,1,三门峡,s,san men xia,三门峡市
4113,41,1,南阳,n,nan yang,南阳市
4114,41,1,商丘,s,shang qiu,商丘市
4115,41,1,信阳,x,xin yang,信阳市
4116,41,1,周口,z,zhou kou,周口市
4117,41,1,驻马店,z,zhu ma dian,驻马店市
419001,41,1,济源,j,ji yuan,济源市
4201,42,1,武汉,w,wu han,武汉市
4202,42,1,黄石,h,huang shi,黄石市
4203,42,1,十堰,s,shi yan,十堰市
4205,42,1,宜昌,y,yi chang,宜昌市
4206,42,1,襄阳,x,xiang yang,襄阳市
4207,42,1,鄂州,e,e zhou,鄂州市
4208,42,1,荆门,j,jing men,荆门市
4209,42,1,孝感,x,xiao gan,孝感市
4210,42,1,荆州,j,jing zhou,荆州市
4211,42,1,黄冈,h,huang gang,黄冈市
4212,42,1,咸宁,x,xian ning,咸宁市
4213,42,1,随州,s,sui zhou,随州市
4228,42,1,恩施,e,en shi,恩施土家族苗族自治州
429004,42,1,仙桃,x,xian tao,仙桃市
429005,42,1,潜江,q,qian jiang,潜江市
429006,42,1,天门,t,tian men,天门市
429021,42,1,神农架,s,shen nong jia,神农架林区
4301,43,1,长沙,c,chang sha,长沙市
4302,43,1,株洲,z,zhu zhou,株洲市
4303,43,1,湘潭,x,xiang tan,湘潭市
4304,43,1,衡阳,h,heng yang,衡阳市
4305,43,1,邵阳,s,shao yang,邵阳市
4306,43,1,岳阳,y,yue yang,岳阳市
4307,43,1,常德,c,chang de,常德市
4308,43,1,张家界,z,zhang jia jie,张家界市
4309,43,1,益阳,y,yi yang,益阳市
4310,43,1,郴州,c,chen zhou,郴州市
4311,43,1,永州,y,yong zhou,永州市
4312,43,1,怀化,h,huai hua,怀化市
4313,43,1,娄底,l,lou di,娄底市
4331,43,1,湘西,x,xiang xi,湘西土家族苗族自治州
4401,44,1,广州,g,guang zhou,广州市
4402,44,1,韶关,s,shao guan,韶关市
4403,44,1,深圳,s,shen zhen,深圳市
4404,44,1,珠海,z,zhu hai,珠海市
4405,44,1,汕头,s,shan tou,汕头市
4406,44,1,佛山,f,fo shan,佛山市
4407,44,1,江门,j,jiang men,江门市
4408,44,1,湛江,z,zhan jiang,湛江市
4409,44,1,茂名,m,mao ming,茂名市
4412,44,1,肇庆,z,zhao qing,肇庆市
4413,44,1,惠州,h,hui zhou,惠州市
4414,44,1,梅州,m,mei zhou,梅州市
4415,44,1,汕尾,s,shan wei,汕尾市
4416,44,1,河源,h,he yuan,河源市
4417,44,1,阳江,y,yang jiang,阳江市
4418,44,1,清远,q,qing yuan,清远市
4419,44,1,东莞,d,dong guan,东莞市
4420,44,1,中山,z,zhong shan,中山市
4451,44,1,潮州,c,chao zhou,潮州市
4452,44,1,揭阳,j,jie yang,揭阳市
4453,44,1,云浮,y,yun fu,云浮市
4501,45,1,南宁,n,nan ning,南宁市
4502,45,1,柳州,l,liu zhou,柳州市
4503,45,1,桂林,g,gui lin,桂林市
4504,45,1,梧州,w,wu zhou,梧州市
4505,45,1,北海,b,bei hai,北海市
4506,45,1,防城港,f,fang cheng gang,防城港市
4507,45,1,钦州,q,qin zhou,钦州市
4508,45,1,贵港,g,gui gang,贵港市
4509,45,1,玉林,y,yu lin,玉林市
4510,45,1,百色,b,bai se,百色市
4511,45,1,贺州,h,he zhou,贺州市
4512,45,1,河池,h,he chi,河池市
4513,45,1,来宾,l,lai bin,来宾市
4514,45,1,崇左,c,chong zuo,崇左市
4601,46,1,海口,h,hai kou,海口市
4602,46,1,三亚,s,san ya,三亚市
4603,46,1,三沙,s,san sha,三沙市
4604,46,1,儋州,d,dan zhou,儋州市
469001,46,1,五指山,w,wu zhi shan,五指山市
469002,46,1,琼海,q,qiong hai,琼海市
469005,46,1,文昌,w,wen chang,文昌市
469006,46,1,万宁,w,wan ning,万宁市
469007,46,1,东方,d,dong fang,东方市
469021,46,1,定安,d,ding an,定安县
469022,46,1,屯昌,t,tun chang,屯昌县
469023,46,1,澄迈,c,cheng mai,澄迈县
469024,46,1,临高,l,lin gao,临高县
469025,46,1,白沙,b,bai sha,白沙黎族自治县
469026,46,1,昌江,c,chang jiang,昌江黎族自治县
469027,46,1,乐东,l,le dong,乐东黎族自治县
469028,46,1,陵水,l,ling shui,陵水黎族自治县
469029,46,1,保亭,b,bao ting,保亭黎族苗族自治县
469030,46,1,琼中,q,qiong zhong,琼中黎族苗族自治县
5001,50,1,重庆城区,c,chong qing cheng qu,重庆城区
5002,50,1,重庆郊县,c,chong qing jiao xian,重庆郊县
5101,51,1,成都,c,cheng du,成都市
5103,51,1,自贡,z,zi gong,自贡市
5104,51,1,攀枝花,p,pan zhi hua,攀枝花市
5105,51,1,泸州,l,lu zhou,泸州市
5106,51,1,德阳,d,de yang,德阳市
5107,51,1,绵阳,m,mian yang,绵阳市
5108,51,1,广元,g,guang yuan,广元市
5109,51,1,遂宁,s,sui ning,遂宁市
5110,51,1,内江,n,nei jiang,内江市
5111,51,1,乐山,l,le shan,乐山市
5113,51,1,南充,n,nan chong,南充市
5114,51,1,眉山,m,mei shan,眉山市
5115,51,1,宜宾,y,yi bin,宜宾市
5116,51,1,广安,g,guang an,广安市
5117,51,1,达州,d,da zhou,达州市
5118,51,1,雅安,y,ya an,雅安市
5119,51,1,巴中,b,ba zhong,巴中市
5120,51,1,资阳,z,zi yang,资阳市
5132,51,1,阿坝,a,a ba,阿坝藏族羌族自治州
5133,51,1,甘孜,g,gan zi,甘孜藏族自治州
5134,51,1,凉山,l,liang shan,凉山彝族自治州
5201,52,1,贵阳,g,gui yang,贵阳市
5202,52,1,六盘水,l,liu pan shui,六盘水市
5203,52,1,遵义,z,zun yi,遵义市
5204,52,1,安顺,a,an shun,安顺市
5205,52,1,毕节,b,bi jie,毕节市
5206,52,1,铜仁,t,tong ren,铜仁市
5223,52,1,黔西南,q,qian xi nan,黔西南布依族苗族自治州
5226,52,1,黔东南,q,qian dong nan,黔东南苗族侗族自治州
5227,52,1,黔南,q,qian nan,黔南布依族苗族自治州
5301,53,1,昆明,k,kun ming,昆明市
5303,53,1,曲靖,q,qu jing,曲靖市
5304,53,1,玉溪,y,yu xi,玉溪市
5305,53,1,保山,b,bao shan,保山市
5306,53,1,昭通,z,zhao tong,昭通市
5307,53,1,丽江,l,li jiang,丽江市
5308,53,1,普洱,p,pu er,普洱市
5309,53,1,临沧,l,lin cang,临沧市
5323,53,1,楚雄,c,chu xiong,楚雄彝族自治州
5325,53,1,红河,h,hong he,红河哈尼族彝族自治州
5326,53,1,文山,w,wen shan,文山壮族苗族自治州
5328,53,1,西双版纳,x,xi shuang ban na,西双版纳傣族自治州
5329,53,1,大理,d,da li,大理白族自治州
5331,53,1,德宏,d,de hong,德宏傣族景颇族自治州
5333,53,1,怒江,n,nu jiang,怒江傈僳族自治州
5334,53,1,迪庆,d,di qing,迪庆藏族自治州
5401,54,1,拉萨,l,la sa,拉萨市
5402,54,1,日喀则,r,ri ka ze,日喀则市
5403,54,1,昌都,c,chang du,昌都市
5404,54,1,林芝,l,lin zhi,林芝市
5405,54,1,山南,s,shan nan,山南市
5406,54,1,那曲,n,na qu,那曲市
5425,54,1,阿里,a,a li,阿里地区
6101,61,1,西安,x,xi an,西安市
6102,61,1,铜川,t,tong chuan,铜川市
6103,61,1,宝鸡,b,bao ji,宝鸡市
6104,61,1,咸阳,x,xian yang,咸阳市
6105,61,1,渭南,w,wei nan,渭南市
6106,61,1,延安,y,yan an,延安市
6107,61,1,汉中,h,han zhong,汉中市
6108,61,1,榆林,y,yu lin,榆林市
6109,61,1,安康,a,an kang,安康市
6110,61,1,商洛,s,shang luo,商洛市
6201,62,1,兰州,l,lan zhou,兰州市
6202,62,1,嘉峪关,j,jia yu guan,嘉峪关市
6203,62,1,金昌,j,jin chang,金昌市
6204,62,1,白银,b,bai yin,白银市
6205,62,1,天水,t,tian shui,天水市
6206,62,1,武威,w,wu wei,武威市
6207,62,1,张掖,z,zhang ye,张掖市
6208,62,1,平凉,p,ping liang,平凉市
6209,62,1,酒泉,j,jiu quan,酒泉市
6210,62,1,庆阳,q,qing yang,庆阳市
6211,62,1,定西,d,ding xi,定西市
6212,62,1,陇南,l,long nan,陇南市
6229,62,1,临夏,l,lin xia,临夏回族自治州
6230,62,1,甘南,g,gan nan,甘南藏族自治州
6301,63,1,西宁,x,xi ning,西宁市
6302,63,1,海东,h,hai dong,海东市
6322,63,1,海北,h,hai bei,海北藏族自治州
6323,63,1,黄南,h,huang nan,黄南藏族自治州
6325,63,1,海南,h,hai nan,海南藏族自治州
6326,63,1,果洛,g,guo luo,果洛藏族自治州
6327,63,1,玉树,y,yu shu,玉树藏族自治州
6328,63,1,海西,h,hai xi,海西蒙古族藏族自治州
6401,64,1,银川,y,yin chuan,银川市
6402,64,1,石嘴山,s,shi zui shan,石嘴山市
6403,64,1,吴忠,w,wu zhong,吴忠市
6404,64,1,固原,g,gu yuan,固原市
6405,64,1,中卫,z,zhong wei,中卫市
6501,65,1,乌鲁木齐,w,wu lu mu qi,乌鲁木齐市
6502,65,1,克拉玛依,k,ke la ma yi,克拉玛依市
6504,65,1,吐鲁番,t,tu lu fan,吐鲁番市
6505,65,1,哈密,h,ha mi,哈密市
6523,65,1,昌吉,c,chang ji,昌吉回族自治州
6527,65,1,博尔塔拉,b,bo er ta la,博尔塔拉蒙古自治州
6528,65,1,巴音郭楞,b,ba yin guo leng,巴音郭楞蒙古自治州
6529,65,1,阿克苏,a,a ke su,阿克苏地区
6530,65,1,克孜勒苏,k,ke zi le su,克孜勒苏柯尔克孜自治州
6531,65,1,喀什,k,ka shi,喀什地区
6532,65,1,和田,h,he tian,和田地区
6540,65,1,伊犁,y,yi li,伊犁哈萨克自治州
6542,65,1,塔城,t,ta cheng,塔城地区
6543,65,1,阿勒泰,a,a le tai,阿勒泰地区
659001,65,1,石河子,s,shi he zi,石河子市
659002,65,1,阿拉尔,a,a la er,阿拉尔市
659003,65,1,图木舒克,t,tu mu shu ke,图木舒克市
659004,65,1,五家渠,w,wu jia qu,五家渠市
659005,65,1,北屯,b,bei tun,北屯市
659006,65,1,铁门关,t,tie men guan,铁门关市
659007,65,1,双河,s,shuang he,双河市
659008,65,1,可克达拉,k,ke ke da la,可克达拉市
659009,65,1,昆玉,k,kun yu,昆玉市
659010,65,1,胡杨河,h,hu yang he,胡杨河市
659011,65,1,新星,x,xin xing,新星市
7101,71,1,台北,t,tai bei,台北市
7102,71,1,高雄,g,gao xiong,高雄市
7103,71,1,台南,t,tai nan,台南市
7104,71,1,台中,t,tai zhong,台中市
7106,71,1,南投,n,nan tou,南投县
7107,71,1,基隆,j,ji long,基隆市
7108,71,1,新竹市,x,xin zhu shi,新竹市
7109,71,1,嘉义市,j,jia yi shi,嘉义市
7111,71,1,新北,x,xin bei,新北市
7112,71,1,宜兰,y,yi lan,宜兰县
7113,71,1,新竹县,x,xin zhu xian,新竹县
7114,71,1,桃园,t,tao yuan,桃园市
7115,71,1,苗栗,m,miao li,苗栗县
7117,71,1,彰化,z,zhang hua,彰化县
7119,71,1,嘉义县,j,jia yi xian,嘉义县
7121,71,1,云林,y,yun lin,云林县
7124,71,1,屏东,p,ping dong,屏东县
7125,71,1,台东,t,tai dong,台东县
7126,71,1,花莲,h,hua lian,花莲县
7127,71,1,澎湖,p,peng hu,澎湖县
8100,81,1,香港,x,xiang gang,香港特别行政区
8200,82,1,澳门,a,ao men,澳门特别行政区
9100,91,1,国外,g,guo wai,国外
